VALUE, ITERATIVE, RECURSIVE
466, 3.0045509338378905e-05, 0.0
467, 2.0062923431396486e-05, 1.031637191772461e-05
468, 1.9719600677490233e-05, 9.987354278564453e-06
469, 2.9993057250976562e-05, 9.984970092773438e-06
470, 3.011941909790039e-05, 9.882450103759766e-06
471, 2.5126934051513672e-05, 1.0125637054443359e-05
472, 3.0126571655273437e-05, 1.0004043579101563e-05
473, 3.0083656311035158e-05, 1.0089874267578125e-05
474, 2.992391586303711e-05, 9.984970092773438e-06
475, 2.9997825622558592e-05, 1.0228157043457031e-05
476, 1.9953250885009765e-05, 1.0111331939697265e-05
477, 2.9754638671875e-05, 1.0004043579101563e-05
478, 3.000020980834961e-05, 9.99927520751953e-06
479, 3.003120422363281e-05, 1.0266304016113282e-05
480, 3.0014514923095703e-05, 9.932518005371093e-06
481, 3.9930343627929685e-05, 0.0
482, 2.0000934600830078e-05, 9.9945068359375e-06
483, 3.0095577239990235e-05, 9.82522964477539e-06
484, 4.0090084075927736e-05, 0.0
485, 2.9997825622558592e-05, 9.9945068359375e-06
486, 3.0002593994140626e-05, 0.0
487, 3.9968490600585934e-05, 1.0118484497070312e-05
488, 4.002571105957031e-05, 9.915828704833985e-06
489, 2.9876232147216797e-05, 9.99927520751953e-06
490, 3.0002593994140626e-05, 1.01470947265625e-05
491, 3.0679702758789064e-05, 1.0035037994384766e-05
492, 2.980470657348633e-05, 1.3642311096191406e-05
493, 2.0232200622558594e-05, 9.996891021728516e-06
494, 3.554105758666992e-05, 1.0671615600585937e-05
495, 4.0018558502197264e-05, 1.001596450805664e-05
496, 2.9821395874023437e-05, 9.930133819580078e-06
497, 3.000020980834961e-05, 9.996891021728516e-06
498, 4.0216445922851564e-05, 9.85860824584961e-06
499, 3.983974456787109e-05, 0.0
500, 2.999544143676758e-05, 0.0
501, 2.992391586303711e-05, 9.9945068359375e-06
502, 4.0197372436523436e-05, 1.0080337524414063e-05
503, 2.9740333557128905e-05, 9.996891021728516e-06
504, 3.000497817993164e-05, 1.0023117065429687e-05
505, 3.0047893524169922e-05, 1.016855239868164e-05
506, 3.0033588409423828e-05, 9.796619415283204e-06
507, 3.0205249786376953e-05, 0.0
508, 2.9997825622558592e-05, 0.0
509, 5.017995834350586e-05, 9.925365447998047e-06
510, 3.384113311767578e-05, 5.981922149658203e-06
511, 3.0009746551513673e-05, 9.989738464355468e-06
512, 3.0007362365722656e-05, 1.0237693786621093e-05
513, 3.997564315795898e-05, 9.882450103759766e-06
514, 2.0070075988769533e-05, 9.920597076416015e-06
515, 3.002166748046875e-05, 0.0
516, 6.613492965698242e-05, 0.0
517, 2.9785633087158205e-05, 1.0004043579101563e-05
518, 1.986980438232422e-05, 9.99927520751953e-06
519, 4.031181335449219e-05, 9.708404541015625e-06
520, 2.9857158660888673e-05, 9.911060333251953e-06
521, 3.0102729797363282e-05, 9.894371032714844e-06
522, 3.0002593994140626e-05, 9.996891021728516e-06
523, 4.006624221801758e-05, 0.0
524, 9.920597076416015e-06, 9.977817535400391e-06
525, 3.000020980834961e-05, 9.99927520751953e-06
526, 4.029273986816406e-05, 1.2242794036865235e-05
527, 1.9884109497070314e-05, 9.913444519042968e-06
528, 2.9981136322021484e-05, 0.0
529, 4.001140594482422e-05, 9.891986846923829e-06
530, 2.0008087158203125e-05, 9.810924530029297e-06
531, 3.023386001586914e-05, 0.0
532, 3.0038356781005858e-05, 9.903907775878906e-06
533, 4.0824413299560544e-05, 9.911060333251953e-06
534, 2.9828548431396484e-05, 9.961128234863282e-06
535, 2.969980239868164e-05, 9.982585906982421e-06
536, 3.5259723663330075e-05, 9.99927520751953e-06
537, 3.000497817993164e-05, 9.99927520751953e-06
538, 2.999067306518555e-05, 6.756782531738281e-06
539, 3.0460357666015626e-05, 1.5225410461425781e-05
540, 3.529548645019531e-05, 9.973049163818359e-06
541, 1.999378204345703e-05, 9.99927520751953e-06
542, 2.9976367950439454e-05, 9.99927520751953e-06
543, 4.015445709228515e-05, 0.0
544, 4.0137767791748046e-05, 0.0
545, 3.0007362365722656e-05, 9.989738464355468e-06
546, 2.984046936035156e-05, 0.0
547, 3.006458282470703e-05, 1.0001659393310548e-05
548, 2.9888153076171875e-05, 1.007080078125e-05
549, 2.8967857360839844e-05, 9.860992431640625e-06
550, 2.9981136322021484e-05, 1.0218620300292969e-05
551, 3.999471664428711e-05, 9.95159149169922e-06
552, 3.020763397216797e-05, 1.0030269622802734e-05
553, 3.9961338043212894e-05, 2.0034313201904297e-05
554, 3.008604049682617e-05, 9.801387786865234e-06
555, 3.0293464660644532e-05, 1.0001659393310548e-05
556, 4.337310791015625e-05, 9.93967056274414e-06
557, 5.023956298828125e-05, 9.984970092773438e-06
558, 2.9981136322021484e-05, 9.834766387939453e-06
559, 2.9978752136230468e-05, 1.0068416595458984e-05
560, 4.985570907592774e-05, 9.899139404296876e-06
561, 2.0046234130859375e-05, 9.973049163818359e-06
562, 2.9964447021484377e-05, 9.968280792236329e-06
563, 5.003452301025391e-05, 9.92298126220703e-06
564, 1.996755599975586e-05, 9.932518005371093e-06
565, 3.030061721801758e-05, 9.794235229492187e-06
566, 3.0014514923095703e-05, 1.0004043579101563e-05
567, 3.010988235473633e-05, 9.99927520751953e-06
568, 3.0198097229003905e-05, 0.0
569, 3.011465072631836e-05, 9.911060333251953e-06
570, 4.015207290649414e-05, 9.99927520751953e-06
571, 4.0009021759033204e-05, 9.987354278564453e-06
572, 3.0019283294677734e-05, 0.0
573, 4.9920082092285155e-05, 1.015186309814453e-05
574, 3.005027770996094e-05, 0.0
575, 3.5126209259033206e-05, 1.0290145874023437e-05
576, 3.0024051666259767e-05, 1.0046958923339844e-05
577, 4.0018558502197264e-05, 9.980201721191406e-06
578, 3.979921340942383e-05, 1.0077953338623048e-05
579, 3.9989948272705076e-05, 1.0013580322265625e-05
580, 2.9964447021484377e-05, 1.0023117065429687e-05
581, 3.031015396118164e-05, 9.99927520751953e-06
582, 5.010843276977539e-05, 9.946823120117187e-06
583, 2.992868423461914e-05, 9.99927520751953e-06
584, 3.017902374267578e-05, 1.0004043579101563e-05
585, 4.9870014190673825e-05, 0.0
586, 2.993345260620117e-05, 1.0001659393310548e-05
587, 3.009319305419922e-05, 9.99927520751953e-06
588, 4.9810409545898435e-05, 1.0225772857666016e-05
589, 3.9968490600585934e-05, 0.0
590, 3.999948501586914e-05, 9.99927520751953e-06
591, 5.007505416870117e-05, 1.0361671447753906e-05
592, 5.000591278076172e-05, 1.0123252868652344e-05
593, 4.0216445922851564e-05, 9.799003601074219e-06
594, 4.018306732177734e-05, 9.987354278564453e-06
595, 3.014326095581055e-05, 9.822845458984376e-06
596, 2.9978752136230468e-05, 1.0004043579101563e-05
597, 2.9778480529785158e-05, 2.009153366088867e-05
598, 3.9908885955810544e-05, 1.001596450805664e-05
599, 3.0188560485839845e-05, 1.0054111480712891e-05
600, 3.979682922363281e-05, 9.95159149169922e-06
601, 4.006624221801758e-05, 9.932518005371093e-06
602, 4.017114639282227e-05, 1.0013580322265625e-05
603, 3.9873123168945315e-05, 9.989738464355468e-06
604, 4.015207290649414e-05, 9.987354278564453e-06
605, 1.977205276489258e-05, 1.0120868682861329e-05
606, 2.9997825622558592e-05, 9.82522964477539e-06
607, 3.9908885955810544e-05, 9.961128234863282e-06
608, 3.0057430267333983e-05, 1.0137557983398438e-05
609, 3.9744377136230466e-05, 1.0006427764892578e-05
610, 5.040884017944336e-05, 1.0218620300292969e-05
611, 3.016948699951172e-05, 1.999855041503906e-05
612, 2.998828887939453e-05, 9.832382202148438e-06
613, 4.5497417449951175e-05, 1.983642578125e-05
614, 2.9969215393066407e-05, 1.9965171813964843e-05
615, 3.016948699951172e-05, 9.99927520751953e-06
616, 3.982067108154297e-05, 1.0144710540771484e-05
617, 3.0112266540527343e-05, 2.0024776458740233e-05
618, 2.997159957885742e-05, 9.82522964477539e-06
619, 1.993894577026367e-05, 9.868144989013672e-06
620, 3.979682922363281e-05, 9.982585906982421e-06
621, 2.9964447021484377e-05, 9.9945068359375e-06
622, 3.015756607055664e-05, 2.009153366088867e-05
623, 4.009246826171875e-05, 1.981019973754883e-05
624, 3.0078887939453124e-05, 9.896755218505859e-06
625, 5.025863647460938e-05, 1.9848346710205078e-05
626, 5.0106048583984374e-05, 9.987354278564453e-06
627, 2.9726028442382814e-05, 1.0042190551757812e-05
628, 6.01816177368164e-05, 2.01416015625e-05
